Open time,Open,High,Low,Close,Volume
4/28/2018,8915.35,9427.48,8870,9348,34759.62842
4/29/2018,9348,9570.51,9163.74,9419,38149.85004
4/30/2018,9417.04,9458.64,9124.99,9246.01,35002.03388
5/1/2018,9246.01,9248.99,8800.49,9071.48,41018.46363
5/2/2018,9071.48,9268,8970.2,9247.84,26123.54396
5/3/2018,9247.81,9844,9168.4,9750,38768.38829
5/4/2018,9750,9830.04,9520.85,9713.99,28681.58888
5/5/2018,9714,10020,9682,9864,24990.01835
5/6/2018,9863.99,9970,9417.03,9659.01,27690.35156
5/7/2018,9661.02,9689.67,9181,9365,33787.64001
5/8/2018,9365,9475.7,9060.54,9187.56,25533.83189
5/9/2018,9178,9390,8965,9310,25673.5249
5/10/2018,9310,9395.12,8970,9002.2,25055.06372
5/11/2018,9002.21,9016.8,8341,8400,48227.04806
5/12/2018,8405.94,8646.88,8153,8465.94,40241.32081
5/13/2018,8475.44,8763.36,8298,8679.71,25632.86936
5/14/2018,8679.71,8879.99,8277,8663.34,37389.66653
5/15/2018,8663.37,8859.99,8401.3,8462,28126.95614
5/16/2018,8462,8488,8083.01,8330,31130.71891
5/17/2018,8330,8464,7979,8041.46,25439.8448
5/18/2018,8038.82,8273.21,7911.9,8239.81,23476.15825
5/19/2018,8238.01,8390.8,8095.73,8233.49,17193.42428
5/20/2018,8233.49,8609,8163.9,8526.98,19957.05711
5/21/2018,8526.97,8595.31,8305,8381.24,21516.59649
5/22/2018,8386.89,8400.18,7935.11,7977.11,23710.90286
5/23/2018,7977.12,8031.9,7425,7501.95,42910.66677
5/24/2018,7501.95,7730.73,7266.99,7575.01,37845.4466
5/25/2018,7578.99,7649.55,7308.15,7457,26739.95664
5/26/2018,7456.99,7620,7300,7333.96,19464.08607
5/27/2018,7334,7400,7231.11,7338.99,18706.94552
5/28/2018,7338.99,7437,7058.02,7099,27219.43896
5/29/2018,7099,7540,7032.95,7461.29,39407.21183
5/30/2018,7467.98,7569,7260.5,7375.96,32041.58362
5/31/2018,7382.07,7699,7327.51,7485.01,30776.0631
6/1/2018,7485.01,7608.55,7355.54,7521.01,28259.12408
6/2/2018,7521.01,7697.33,7437,7640.03,26720.69022
6/3/2018,7636.81,7786.69,7600,7714.26,27505.15895
6/4/2018,7714.26,7760.52,7446.5,7487,32258.83512
6/5/2018,7487,7679.49,7358,7625,31722.97338
6/6/2018,7626.64,7699,7467.05,7658.84,27229.9919
6/7/2018,7658.79,7765,7620,7691.08,25062.2272
6/8/2018,7691.08,7703.5,7531,7603.44,23396.80467
6/9/2018,7603.44,7683.98,7450,7491.73,19339.88518
6/10/2018,7491.73,7491.73,6622.81,6764.99,52342.02003
6/11/2018,6765,6922,6610,6872,34552.1623
6/12/2018,6872,6890.51,6435,6530,36722.21119
6/13/2018,6530,6627.6,6118.68,6292.78,46185.5181
6/14/2018,6292.78,6720,6260,6635.98,44478.13084
6/15/2018,6638.67,6666.66,6362.31,6388.9,30018.32991
6/16/2018,6380.01,6560,6320.86,6483.98,22277.24115
6/17/2018,6482.5,6589.03,6422,6449.61,19847.24769
6/18/2018,6444.06,6794.38,6380,6712.46,31821.435
6/19/2018,6711.39,6841.74,6653,6741.21,24311.42114
6/20/2018,6740,6817.23,6551.81,6761.51,26359.75245
6/21/2018,6763.21,6795,6672.57,6718.84,25428.85405
6/22/2018,6717.69,6733.97,5918.94,6045,52157.37083
6/23/2018,6045.92,6260,6008.48,6149.98,26622.78859
6/24/2018,6149.98,6259.8,5750,6136.97,47445.99896
6/25/2018,6137.95,6350,6061.97,6252,39164.51531
6/26/2018,6252,6272.54,6035,6070.78,19377.24048
6/27/2018,6065.89,6190.43,5971,6133.73,19225.6711
6/28/2018,6134.73,6173.01,5827,5853.98,30585.26603
6/29/2018,5851.01,6300,5780,6197.92,33911.28728
6/30/2018,6197.92,6528.99,6186.03,6390.07,37919.61284
7/1/2018,6391.08,6441.06,6251,6356.81,27562.96597
7/2/2018,6360.82,6685,6271.62,6615.29,36230.45226
7/3/2018,6615.29,6679.35,6463.01,6513.86,38657.78169
7/4/2018,6511.01,6784.92,6441.11,6586.98,23571.89278
7/5/2018,6585.53,6712,6453.33,6529.2,35071.9729
7/6/2018,6529.2,6648.54,6425,6609.78,29397.09475
7/7/2018,6609.79,6818.16,6508.88,6756.98,23973.87689
7/8/2018,6753.48,6780,6667.44,6712.1,24622.94779
7/9/2018,6712.1,6802.06,6612.24,6662.12,26732.40655
7/10/2018,6662.78,6681,6263,6296.91,38560.6727
7/11/2018,6296.91,6406,6278.99,6378.07,28715.49849
7/12/2018,6378.07,6380.28,6070,6250.57,31306.66335
7/13/2018,6251.4,6350,6110,6214.57,26375.32529
7/14/2018,6214.57,6335,6178,6251.99,17783.072
7/15/2018,6250.9,6395,6225.4,6353.01,22979.21151
7/16/2018,6354.15,6747.3,6330.4,6723.35,36204.87708
7/17/2018,6723.33,7468.99,6652.04,7317.44,52105.42346
7/18/2018,7317.44,7588.08,7225.38,7381.9,59487.64345
7/19/2018,7381.88,7576.28,7270,7466.21,41218.25644
7/20/2018,7468.86,7700,7273,7337.53,46140.31345
7/21/2018,7337.47,7458.47,7211,7398.78,28886.49029
7/22/2018,7399.25,7582.4,7335.5,7394.79,30270.21844
7/23/2018,7394.78,7833,7375,7721.01,41646.34667
7/24/2018,7721.65,8486,7696,8397.24,60121.16375
7/25/2018,8397.24,8491.77,8050,8175.64,48257.64912
7/26/2018,8175.63,8315.69,7850.06,7920,43223.48168
7/27/2018,7920,8285,7805,8188.57,43671.00589
7/28/2018,8188.57,8246.54,8067,8225.04,26215.17384
7/29/2018,8225.04,8294.51,8115,8211,25531.22619
7/30/2018,8210.99,8273,7866,8173.92,39692.41654
7/31/2018,8171.4,8180,7633,7730.93,48296.91559
8/1/2018,7735.67,7750,7430,7604.58,42582.31293
8/2/2018,7600.08,7709.46,7455.72,7525.71,37665.69668
8/3/2018,7525.71,7540,7282.44,7418.78,44669.48605
8/4/2018,7412.27,7494.81,6926,7009.84,36288.42601
8/5/2018,7009.84,7089.87,6882.29,7024.19,32894.84978
8/6/2018,7024.19,7160,6821,6934.82,32760.19164
8/7/2018,6935,7150.46,6670,6720.06,45438.4735
8/8/2018,6720.63,6721.54,6123,6285,59550.53632
8/9/2018,6283.27,6622.81,6178.6,6529.79,51941.18511
8/10/2018,6529.79,6575.88,6026.39,6144.01,59034.9749
8/11/2018,6148.13,6488,5971,6232.35,47133.41856
8/12/2018,6222.55,6472.3,6130,6308.33,38567.77071
8/13/2018,6308.56,6545,6145.04,6246.35,53895.82878
8/14/2018,6248.25,6250.33,5880,6188.08,50186.74509
8/15/2018,6188.08,6609,6172.11,6267.16,68806.68703
8/16/2018,6265.27,6480,6205.6,6311.75,48515.25462
8/17/2018,6316,6585,6285.4,6584.49,57851.6108
8/18/2018,6579.04,6620,6288,6387.96,53742.32217
8/19/2018,6387.96,6541,6300,6477.53,45190.84799
8/20/2018,6477.53,6530,6220,6254.84,49435.55526
8/21/2018,6251,6500,6235.08,6480,41569.94741
8/22/2018,6479.98,6882.54,6251.2,6360.89,77909.39136
8/23/2018,6362.57,6576.99,6342.28,6525.01,40358.16683
8/24/2018,6525,6725,6440.5,6681.64,38305.67532
8/25/2018,6686.98,6789,6650.61,6733.64,19220.50593
8/26/2018,6733.64,6775.27,6568,6700,20107.29721
8/27/2018,6700,6940.51,6646.5,6908.64,37747.07875
8/28/2018,6907.26,7135,6860,7076.11,48352.91716
8/29/2018,7077,7133.81,6912.34,7031.22,43252.48739
8/30/2018,7033.21,7063.63,6784.81,6984.84,44716.77462
8/31/2018,6984.84,7089,6888,7011.21,40467.40064
9/1/2018,7011.21,7275,7008.74,7200.01,40323.41409
9/2/2018,7201.57,7345.45,7127,7302.01,39814.84035
9/3/2018,7302,7338.28,7191.63,7263.02,32396.01837
9/4/2018,7263,7410,7227.17,7359.06,35300.64052
9/5/2018,7359.05,7397.3,6682,6700,63715.25627
9/6/2018,6697.27,6725,6265,6516.01,60644.46423
9/7/2018,6516.84,6544,6320,6395.54,38906.28805
9/8/2018,6395.54,6478,6111,6185.05,38215.03217
9/9/2018,6185.06,6441,6141.53,6250.81,37053.92382
9/10/2018,6252.26,6373.98,6221,6312,32439.45643
9/11/2018,6311.99,6404,6169.68,6294.91,33104.88859
9/12/2018,6293,6360,6192.37,6338.62,31433.64594
9/13/2018,6338.62,6535,6337.4,6487.38,40465.06311
9/14/2018,6487.39,6584.99,6385.62,6476.63,37173.33928
9/15/2018,6476.63,6565.45,6466.13,6514.96,25243.65661
9/16/2018,6514.96,6524.62,6370,6505,27568.1329
9/17/2018,6500.08,6533.84,6201,6248.69,35987.25474
9/18/2018,6248.69,6390,6224.98,6336.45,32620.86667
9/19/2018,6336.39,6517.7,6123,6391.89,39044.08008
9/20/2018,6392,6540,6325,6492,25189.02473
9/21/2018,6492,6784.86,6491,6759.02,51779.34346
9/22/2018,6759.01,6839.03,6627,6723.05,29349.69067
9/23/2018,6723.05,6788.23,6661.75,6708,30286.22977
9/24/2018,6706.81,6730,6557,6581.39,35305.73991
9/25/2018,6581.42,6584.01,6325.02,6447.54,40301.02945
9/26/2018,6445.11,6557.99,6379.7,6465.12,33484.54207
9/27/2018,6467.84,6750,6434,6689.13,33087.4283
9/28/2018,6689.12,6814.8,6540.88,6634.58,42399.44852
9/29/2018,6634.58,6636,6464.57,6596.38,30255.9597
9/30/2018,6597.66,6662,6542.48,6603.03,17488.79349
